C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_55_721.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_55_721.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_55_721.jpg, 0, 0, 0, 4.776689
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_55_951.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_55_951.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_55_951.jpg, 0, 0, 0, 4.645629
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_090.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_090.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_090.jpg, 0, 0, 0, 4.56733
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_217.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_217.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_217.jpg, 0, 0, 0, 4.512134
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_320.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_320.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_320.jpg, 0, 0, 0, 4.451639
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_451.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_451.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_451.jpg, -0.1123305, 0, 0, 4.357897
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_570.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_570.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_570.jpg, -0.4634964, 0, 0, 4.271506
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_701.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_701.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_701.jpg, -0.8601024, 0, 0, 4.191759
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_833.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_833.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_833.jpg, -1, 0.3900267, 0, 4.632035
C:\Users\Owner\Desktop\Data\IMG\center_2021_06_01_12_51_56_943.jpg, C:\Users\Owner\Desktop\Data\IMG\left_2021_06_01_12_51_56_943.jpg, C:\Users\Owner\Desktop\Data\IMG\right_2021_06_01_12_51_56_943.jpg, -1, 0.05985662, 0, 4.651271
